temp_avg,temp_min,temp_max,temp_observ,precip,wind,casual,registered,total_cust,holiday,rain,fog,ice,year,season_spring,season_summer,season_fall,dayOfWeek_Friday,dayOfWeek_Monday,dayOfWeek_Saturday,dayOfWeek_Sunday,dayOfWeek_Thursday,dayOfWeek_Tuesday,dayOfWeek_Wednesday,total_cust_log,total_cust_diff
6.14,-0.3,12.59,1.87,0.0,5.3,231.0,1878.0,2109.0,0.0,0,0,0,2011,1,0,0,0,0,0,0,0,0,1,7.653969180478774,0.1408056352446989
3.91,-3.99,11.82,-3.1,0.0,3.32,123.0,1536.0,1659.0,0.0,0,1,0,2011,1,0,0,0,0,0,0,1,0,0,7.413970290190444,-0.2399988902883301
2.04,-3.06,7.15,-0.35,0.0,3.68,214.0,1709.0,1923.0,0.0,0,0,0,2011,1,0,0,1,0,0,0,0,0,0,7.56164174558878,0.14767145539833582
6.56,0.83,12.3,7.74,0.04,4.4,640.0,1414.0,2054.0,0.0,1,1,0,2011,1,0,0,0,0,1,0,0,0,0,7.627544390488503,0.0659026448997233
10.24,4.37,16.11,10.91,7.6,5.85,113.0,469.0,582.0,0.0,1,1,1,2011,1,0,0,0,0,0,1,0,0,0,6.366470447731438,-1.261073942757065
6.77,0.89,12.66,1.93,32.89,5.98,243.0,1599.0,1842.0,0.0,1,1,1,2011,1,0,0,0,1,0,0,0,0,0,7.518607216815252,1.152136769083814
3.67,-2.33,9.66,0.2,0.01,1.92,316.0,1781.0,2097.0,0.0,0,0,0,2011,1,0,0,0,0,0,0,0,1,0,7.64826303090192,0.12965581408666793
4.8,-0.0,9.6,3.34,0.09,4.43,191.0,1677.0,1868.0,0.0,1,1,0,2011,1,0,0,0,0,0,0,0,0,1,7.532623618788788,-0.11563941211313189
8.08,4.41,11.75,9.26,20.94,5.5,46.0,570.0,616.0,0.0,1,1,0,2011,1,0,0,0,0,0,0,1,0,0,6.423246963533519,-1.1093766552552689
7.89,3.65,12.13,4.5,31.92,3.8,247.0,1706.0,1953.0,0.0,1,1,0,2011,1,0,0,1,0,0,0,0,0,0,7.577121930876679,1.1538749673431594
6.51,1.22,11.8,4.4,0.03,3.28,724.0,1380.0,2104.0,0.0,0,0,0,2011,1,0,0,0,0,1,0,0,0,0,7.651595573857601,0.07447364298092207
8.69,2.45,14.92,6.15,0.0,4.22,979.0,1396.0,2375.0,0.0,0,0,0,2011,1,0,0,0,0,0,1,0,0,0,7.772752716468742,0.12115714261114086
6.4,-0.45,13.26,1.72,0.01,2.2,359.0,1673.0,2032.0,0.0,0,1,0,2011,1,0,0,0,1,0,0,0,0,0,7.616775808698373,-0.155976907770369
5.37,-0.07,10.81,2.57,0.62,2.95,288.0,1736.0,2024.0,0.0,1,1,0,2011,1,0,0,0,0,0,0,0,1,0,7.6128310304073565,-0.003944778291016249
7.45,2.97,11.93,6.57,15.07,3.28,321.0,1851.0,2172.0,0.0,1,1,1,2011,1,0,0,0,0,0,0,0,0,1,7.683403681053826,0.07057265064646945
10.12,4.67,15.57,7.83,0.02,3.22,423.0,2295.0,2718.0,0.0,0,0,0,2011,1,0,0,0,0,0,0,1,0,0,7.907651594711089,0.22424791365726282
14.53,7.11,21.95,14.1,0.0,3.52,883.0,2311.0,3194.0,0.0,0,0,0,2011,1,0,0,1,0,0,0,0,0,0,8.069029328774958,0.16137773406386913
16.47,9.36,23.57,10.8,0.02,5.75,1422.0,1634.0,3056.0,0.0,0,0,0,2011,1,0,0,0,0,1,0,0,0,0,8.024862150286411,-0.044167178488546455
7.61,1.48,13.74,2.9,0.0,3.3,1046.0,1372.0,2418.0,0.0,1,0,0,2011,1,0,0,0,0,0,1,0,0,0,7.790696031174738,-0.2341661191116735
9.5,3.41,15.59,8.03,4.45,3.9,401.0,1657.0,2058.0,0.0,1,1,0,2011,1,0,0,0,1,0,0,0,0,0,7.629489916393995,-0.1612061147807431
13.54,6.51,20.57,10.55,3.48,3.55,460.0,2207.0,2667.0,0.0,1,1,0,2011,1,0,0,0,0,0,0,0,1,0,7.888709524182015,0.2592196077880198
